topic,keyword,sentiment_neg,sentiment_neu,sentiment_pos
affiliation,อิสระ,1,1,0
affiliation,จำลอง,0,0,1
campaign,ฟ้อง,1,0,0
campaign,เนชั่น,1,0,0
campaign,ไม่ฉีด,0,1,0
campaign,เงินเดือน,0,1,0
campaign,งบหาเสียง,0,1,0
campaign,เว้นระยะห่าง,0,0,1
campaign,ไม่ได้มีทุน,0,1,0
campaign,หาเสียงออนไลน์,0,1,0
campaign,เลือกรสนามาเป็นทีม,0,0,1
competency,งง,1,0,0
policy,หยุดโกง,0,0,1
policy,เปลี่ยนได้,0,0,1
policy,หาบเร่,0,0,1
policy,แผงลอย,0,0,1
policy,เดินถนน,0,0,1
policy,PM2.5,0,0,1
policy,ฝุ่น,0,0,1
policy,สวัสดิการ,0,0,1
policy,ความเหลื่อมล้ำ,0,0,0
public-sentiment,นอกสายตา,1,0,0
quality,ซื่อสัตย์,0,0,1
quality,สู้เต็มที่,0,0,1
quality,รับฟัง,0,0,1
quality,ทำงานร่วมกับทุกพรรค,0,0,1
quality,จิตอาสา,0,0,1
quality,วิสัยทัศน์,0,0,1
quality,ผลงาน,0,0,1
