topic,keyword,sentiment_neg,sentiment_neu,sentiment_pos
affiliation,เผาเมือง,0,0,1
affiliation,เพื่อไทย,2,0,0
affiliation,แดง,3,0,1
affiliation,ทักษิณ,2,1,0
affiliation,ประชาธิปไตย,0,0,1
affiliation,ล้มเจ้า,1,0,0
affiliation,สลิ่ม,1,1,0
campaign,จุฬา,1,0,0
campaign,ต้องการคะแนนเสียง,1,0,0
campaign,ตัวอย่าง,0,0,1
campaign,ติ๊กตอก,0,0,1
campaign,รถไฟฟ้า,3,0,0
campaign,ลงพื้นที่,0,0,1
campaign,หาเสียง,0,0,1
campaign,คนรุ่นใหม่,0,0,1
campaign,การเมือง,0,1,0
policy,บ้านเมือง,0,1,0
competency,ICAO,4,0,0
competency,pr,1,0,0
competency,ไม่มีผลงาน,1,0,0
competency,การบินไทย,2,0,0
competency,การบินพลเรือน,2,0,0
competency,ขายฝัน,1,0,0
competency,คมนาคม,2,0,0
competency,จัดการน้ำ,1,0,0
competency,ทางเท้า,1,0,0
competency,น้ำท่วม,1,0,0
competency,ผลงานไม่เจอ,1,0,0
competency,ฟุตบาท,1,0,0
competency,รถไฟความเร็วสูง,1,0,0
competency,สัมภาษณ์,0,0,1
public-sentiment,แกร่ง,0,0,2
public-sentiment,แข็งแกร่ง,0,0,2
public-sentiment,แสง,0,0,1
public-sentiment,ทรงพลัง,0,0,1
public-sentiment,ท่านผู้ว่า,0,0,1
public-sentiment,อวย,1,0,0
public-sentiment,แมว,0,0,1
public-sentiment,เด็กสยาม,0,0,1
campaign,ข่าวปลอม,1,0,0
public-sentiment,ไม่รู้จัก,1,0,0
public-sentiment,กลิชโหมด,0,0,1
public-sentiment,supervillain,0,0,1
public-sentiment,โคตรปั่น,0,0,1
policy,fact,0,0,1
policy,เท่าเทียม,0,0,1
policy,เปลี่ยนแปลง,0,0,1
policy,แก้ปัญหา,0,0,1
policy,แสงสว่าง,0,0,1
policy,โปร่งใส,0,0,1
policy,คนพิการ,0,0,1
policy,ชุมนุม,2,0,0
policy,นโยบาย,0,0,3
policy,บริหารจัดการดี,0,0,1
policy,ปฏิบัติได้,0,0,1
policy,ป้าย,0,0,6
policy,ผู้สูงอายุ,0,0,1
policy,มีม,0,0,1
policy,ยั่งยืน,0,0,1
policy,สาธารณะ,0,0,1
policy,สุขภาพ,0,0,1
policy,ม็อบ,0,0,1
quality,เข้าใจ,0,0,1
quality,เงินเยียวยา,1,0,0
quality,เจอที่,0,0,3
quality,ก้าวหน้า,0,0,1
quality,ชัดเจน,0,0,1
quality,ตั้งใจ,0,0,0
quality,ตั้งใจ,0,0,1
quality,ทันสมัย,0,0,1
quality,ทัศนคติ,0,0,1
quality,ทำงาน,0,0,2
quality,ทุจริต,1,0,0
quality,ป.ป.ช.,1,0,0
quality,ปปช,1,0,0
quality,มิตรภาพ,0,0,1
quality,มุ่งมั่น,0,0,1
quality,อบอุ่น,0,0,1
quality,หลีดเดอร์,0,0,1
quality,เพื่อน,0,0,1
campaign,ติ้กต้อก,0,0,1
quality,ความยุติธรรม,0,0,1
policy,สิ่งแวดล้อม,0,0,1
public-sentiment,ปัง,0,0,1
public-sentiment,ยังนำ,0,0,1
public-sentiment,แรงเยอะ,0,0,1
public-sentiment,คนบนฟ้า,0,0,1
campaign,เพื่อนชัชชาติ,0,0,1
