topic,keyword,sentiment_neg,sentiment_neu,sentiment_pos
campaign,ป้ายหาเสียง,8,0,0
policy,ขยะ,0,6,4
quality,มติชนโพล,0,0,4
policy,พลิกพัทยา,0,2,0
policy,สู้กับเผด็จการ,0,1,0
policy,รถติด,0,0,4
campaign,ใต้พรม,0,0,3
competency,กล้าชนกับรัฐบาล,2,0,2
policy,คืนเมืองคนเท่ากัน,0,2,1
competency,ควนเป็น สส. ,0,0,3
campaign,นโยบายไม่ค่อยชัด ,2,0,0
policy,น้ำเสียและขยะ,0,1,2
policy,ฟื้นฟูย่านเมืองเก่า,0,1,0
campaign,เพลงวิโรจน์ก้าวไกล,0,1,1
quality,ชัชชาติ,0,0,2
campaign,นโยบายเรื่องคนไร้บ้าน,0,0,1
quality,จ้องหน้าอก,0,1,0
policy,ชนนายทุน,0,0,4
policy,ถอดหน้ากาก,0,0,1
campaign, เพิ่มสายรถเมล์,0,1,0
policy,สติกเกอร์ขนาดเสาไฟฟ้า,2,0,0
