topic,keyword,sentiment_neg,sentiment_neu,sentiment_pos
policy,คลอง,0,0,1
policy,ค้าขาย,0,0,1
policy,สถานการณ์น้ำ,0,0,1
policy,ริมคลอง,0,0,1
public-sentiment,ราคาตก,1,0,0
affiliation,ภูมิธรรม,1,0,0
policy,นโยบายชัดเจน,0,0,1
policy,วิสัยทัศน์,0,0,1
public-sentiment,ชีวิตที่ดีขึ้น,0,0,1
policy,สร้างพลัง,0,0,1
affiliation,สุดารัตน์,0,1,0
public-sentiment,เชื่อมั่น,0,0,1
policy,จริงจัง,0,0,1
public-sentiment,แก้ได้,0,0,1
policy,กยศ,0,0,1
competency,จักรยาน,0,0,1
competency,เลนสุวรรณภูมิ,0,0,1
affiliation,เสื้อแดง,1,0,0
policy,3 P,0,0,1
policy,ปลดล็อก,0,0,1
policy,ผู้ค้า,0,0,1
campaign,ป้ายหาเสียง,0,0,1
campaign,ลงพื้นที่,0,0,1
policy,กองทุนเครดิต,0,0,1
competency,เบื้องหลัง,0,0,1
public-sentiment,รัก,0,0,1
policy,มายกทีม,0,0,1
policy,ร่วมมือ,0,0,1
affiliation,กัปตันอเมริกา,0,1,0
quality,รับฟัง,0,0,1
affiliation,บิ๊ก,1,0,0
policy,กระตุ้นเศรษฐกิจ,0,0,1
competency,Sky Lane,0,0,1
public-sentiment,ไร้ตัวตน,1,0,0
competency,ขาดข้อมูล,1,0,0
affiliation,ประชาธิปไตย,0,0,1
policy,ระบายน้ำ,0,0,1
policy,พื้นที่สีเขียว,0,0,1
policy,UrbanFarming,0,0,1
policy,GreenRoof,0,0,1
policy,เครดิตประชาชน,0,0,1
policy,กู้เงินนอกระบบ,0,0,1
policy,สภาชุมชน,0,0,1
policy,กองทุน,0,0,1
